"","X","Paper","Condition","Subcondition","Neurotypical","Subject.Group","Dual.Task","Treatment","Self.Congruence","Scene","fMRI","ERP","Eye.Track","Agent","Agent.Subclass","Animate","Directional","Perspective.Consistency","Directional.Consistency","Gender.Matched","Target.Perspective","Self.Other.Blocking","Design.Block","Block.Type","Excluded.Mismatch","Explicitly.Tracking.Self","Explicitly.Tracking.Other","Explicitly.NOT.Tracking.Other","Told.Ignore.Stimulus","Spacial.Distribution","Perspective.Eliminated","Learning.Required","Cue.Type","Cue","Social.Cue","Task","Action","Timeout","Virtual.InPerson","Subject","Value","RTorError","StudyNumber","Age","Sex","Matching","PerspectiveSelf","filter_condition"
"47",12678,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_16",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"48",12679,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_16",0.05555556,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"49",12680,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_2",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"50",12681,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_2",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"51",12682,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_3",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"52",12683,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_3",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"53",12684,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_4",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"54",12685,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_4",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"55",12686,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_5",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"56",12687,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_5",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
